name1,name2,constit_id,party_id,first_pref_percent
McGuinness,John,0,1,15.04
Deering,Pat,0,0,10.13
Hogan,Phil,0,0,14.27
McGuinness,John,0,2,12.92
Phelan,Ann,0,1,10.95
Phelan,John Paul,0,0,14.82
Ó Caoláin,Caoimhghín,1,3,16.71
Smith,Brendan,1,2,13.61
O'Reilly,Joe,1,0,11.69
Humphreys,Heather,1,0,11.43
Conlan,Seán,1,0,11.03
Breen,Pat,2,0,17.02
McNamara,Michael,2,1,14.80
Carey,Joe,2,0,13.54
Dooley,Timmy,2,2,11.72
Sherlock,Seán,3,1,20.84
Stanton,David,3,0,17.60
McLellan,Sandra,3,3,11.05
Barry,Tom,3,0,10.18
O'Brien,Jonathan,4,3,15.20
Kelleher,Billy,4,2,15.14
Lynch,Kathleen,4,1,14.72
Murphy,Dara,4,0,12.65
Creed, Michael,5,0,22.11
Moynihan,Michael,5,2,19.34
Collins,Áine,5,0,17.24
Martin,Micheál,6,2,16.73
Coveney,Simon,6,0,14.75
Lynch,Ciarán,6,1,13.24
McGrath,Michael,6,2,11.28
Buttimer,Jerry,6,0,11.13
Daly,Jim,7,0,19.44
Harrington,Noel,7,0,15.11
McCarthy,Michael,7,1,14.31
MacLochlainn,Pádraig,8,3,24.47
McHugh,Joe,8,0,19.33
McConalogue,Charlie,8,2,17.44
Doherty,Pearse,9,3,32.97
McGinley,Dinny,9,0,19.85
Pringle,Thomas,9,5,13.51
Donohoe,Paschal,10,0,19.94
Costello,Joe,10,1,18.12
McDonald,Mary Lou,10,3,13.08
O'Sullivan,Maureen,10,5,11.96
Tuffy,Joanna,11,1,17.54
Fitzgerald,Frances,11,0,17.04
Keating,Derek,11,0,13.89
Dowds,Robert,11,1,13.21
Reilly,James,12,0,20.63
Ryan,Brendan,12,1,19.88
Daly,Clare,12,6,15.22
Farrell,Alan,12,0,10.76
Bruton,Richard,13,0,24.98
O'Riordáin,Aodhán,13,1,22.52
McGrath,Finian,13,5,15.44
Flanagan,Terence,14,0,29.47
Broughan,Tommy,14,1,23.92
Kenny,Seán,14,1,10.43
Shortall,Róisín,15,1,28.52
Ellis,Dessie,15,3,21.68
Lyons,John,15,1,14.63
Ross,Shane,16,5,23.50
Mitchell,Olivia,16,0,13.26
Mathews,Peter,16,0,12.46
White,Alex,16,1,11.73
Shatter,Alan,16,0,10.62
Byrne, Eric,17,1,16.41
Ó Snodaigh,Aengus,17,3,13.36
Collins,Joan,17,4,12.91
Byrne,Catherine,17,0,11.00
Conaghan,Michael,17,2,10.78
Creighton,Lucinda,18,0,18.96
Murphy,Eoghan,18,0,16.56
Quinn,Ruairi,18,1,15.48
Humphreys,Kevin,18,1,9.88
Rabbitte,Pat,19,1,27.40
Hayes,Brian,19,0,19.94
Crowe,Seán,19,3,17.17
Maloney,Eamonn,19,1,8.87
Burton,Joan,20,1,22.67
Varadkar,Leo,20,0,19.68
Higgins,Joe,20,6,19.03
Lenihan,Brian,20,2,15.12
Gilmore,Eamon,21,1,20.23
Barrett,Seán,21,0,18.53
Mitchell O'Connor,Mary,21,0,16.03
Boyd Barrett,Richard,21,4,10.95
Connaughton,Paul,22,0,12.24
Cannon,Ciarán,22,0,11.69
Kitt,Michael,22,2,11.11
Keaveney,Colm,22,1,7.18
Nolan,Derek,23,1,12.35
Ó Cúiv,Eamon,23,2,12.27
Grealish,Noel,23,5,10.27
Walsh,Brian,23,0,8.95
Kyne,Seán,23,0,7.51
Deenihan,Jimmy,24,0,26.97
Ferris,Martin,24,3,20.35
Spring,Arthur,24,1,20.08
Griffin,Brendan,25,0,19.85
Healy Rae,Michael,25,5,15.03
Fleming,Tom,25,5,14.46
Durkan, Bernard,26,0,19.85
Stagg,Emmet,26,1,18.97
Murphy,Catherine,26,5,13.49
Lawlor,Anthony,26,0,13.44
Heydon,Martin,27,0,33.33
Wall,Jack,27,1,27.82
Ó Fearghaíl,Seán,27,2,11.80
Flanagan,Charlie,28,0,14.06
Cowen,Barry,28,2,11.13
Stanley,Brian,28,3,10.83
Fleming,Sean,28,2,8.12
Corcoran Kennedy,Marcella,28,0,7.84
Collins,Niall,29,2,20.78
Neville,Dan,29,0,20.37
O'Donovan,Patrick,29,0,19.09
Noonan,Michael,30,0,30.77
O'Dea,Willie,30,2,16.11
O'Sullivan,Jan,30,1,14.71
O'Donnell,Kieran,30,0,12.52
Penrose,Willie,31,1,19.83
Bannon,James,31,0,15.87
McFadden,Nicky,31,0,10.65
Troy,Robert,31,2,7.43
Kirk,Seamus,32,2,-1
Adams,Gerry,32,3,21.74
O'Dowd,Fergus,32,0,20.17
Nash,Gerald,32,1,12.58
Fitzpatrick,Peter,32,0,11.32
Kenny,Enda,33,0,23.56
Ring,Michael,33,0,17.77
Mulherin,Michelle,33,0,11.94
O'Mahony,John,33,0,11.69
Calleary,Dara,33,2,11.57
Hannigan,Dominic,34,1,21.04
McEntee,Shane,34,0,20.57
Doherty,Regina,34,0,20.30
English,Damien,35,0,23.12
Tóibín,Peadar,35,3,17.40
Butler,Ray,35,0,13.10
Naughten,Denis,36,0,19.62
Feighan,Frank,36,0,18.91
Flanagan,Luke 'Ming',36,5,18.79
Perry,John,37,0,19.50
McLoughlin,Tony,37,0,17.37
Colreavy,Mícheál,37,3,13.30
Lowry,Michael,38,5,29.22
Coonan,Noel,38,0,23.67
Kelly,Alan,38,1,19.80
Hayes,Tom,39,0,21.51
Healy,Seamus,39,5,21.32
McGrath,Mattie,39,5,14.69
Deasy,John,40,0,19.95
Coffey,Paudie,40,0,18.05
Conway,Ciara,40,1,10.34
Halligan,John,40,5,10.32
Wallace,Mick,41,5,17.65
Howlin,Brendan,41,1,14.57
Twomey,Liam,41,0,12.22
Kehoe,Paul,41,0,11.10
Browne,John,41,0,9.73
Doyle,Andrew,42,0,14.23
Timmins,Billy,42,0,13.00
Harris,Simon,42,0,12.38
Donnelly,Stephen,42,5,9.26
Ferris,Anne,42,1,7.71
